Title,Learning Hours,Activity Description,Benefit to Practice,Benefit to Users
STOR-i CDT Conference,1.0,Poster session for the CDT STOR-i Conference,"I discussed a number of new techniques being developed in the STOR-i CDT, including a multi-armed bandits method and new clustering techniques. 
There is a possibility to set up a PhD project or internship with a STOR-i PhD student.",Close collaborating with Lancaster University allows us to incorporate the latest academic algorithms into our work.
STOR-i Conference 2017,5.0,"The STOR-i Doctoral Training Centre at Lancaster University is hosting the sixth annual conference with talks from key researchers from Statistics, Operational Research and Industry.

Itinerary, Day One:
10:00- Registration and refreshments in LICA Building foyer
10:30- Professor Finn Lindgren, School of Mathematics, University of Edinburgh
11:30- James Grant, STOR-i PhD student
12:00- Lunch
13:00- Professor Paul Harper, School of Mathematics, Cardiff University
14:00- Ye Liu, STOR-i PhD Alumni
14:30- Refreshment break
15:00- Professor Qiwei Yao, Department of Statistics, London School of Economics
16:00- Dr Steve King, Rolls Royce
16:30- Talks finish
18:30-21:00 Poster Session in the LICA building with wine reception and buffet

Itinerary, Day Two:
09:30- Professor Giovanni Andreatta, Matematica Pura ed Applicata, Padova University
10:30- Dr Michael Epitropakis, STOR-i Associated, Management School, Lancaster University
11:00- Refreshment break
11:30- Detlef Nauck, BT, Industry Speaker
12:00- Katie Yates, STOR-i PhD Student
12:30- Lunch
13:30- Close","The STOR-i conference highlights up-to-date statistical methodology. Increasing my knowledge of new techniques in extreme value theory, changepoints and statistical learning. ",Ensuring that I am up-to-date with the latest statistical methodology allows me to provide relevant analysis for my clients. 
STOR-i Conference 2019,2.0,"Annual STOR-i conference held at Lancaster University
Approximately 100 attendees across academia and industry, mostly focused on cutting edge research in statistical and operations research. 

I attended a key-note and the poster session.","Even though I am now in industry, I believe it is important to stay up-to-date with the statistics literature. By attending this conference, I am able to keep up to date with the latest developments in change point analysis, extreme value theory, multi-armed bandits and cluster analysis.","Users can be assured that I keep up-to-date with the latest developments in statistics, and am well-versed in a number of statistical areas. "
STOR-i Conference 2020,0.0,ASDF123,ASDF123,ASDF123
STOR-i Conference 2020,0.0,ASDF123,ASDF123,ASDF123
Stylish code,1.0,I learnt about using the lintR and styler packages to stylise my code. ,"It's important as a data scientist to be up to date with the new R packages. These two, in particular, have become part of my daily coding practice, making my code cleaner and more concise.",Having clean code is essential to good coding practice.
Supervising a placement student,3.0,Callum is a Computer Science student who is on placement at Digital Rail. it was my responsibility to supervise him and project manage his work.,"I had to manage Callum's research project, ensuring he was on task, supporting both technically and emotionally. His project was written in a programming language I do not use (Java Script) so we have to ensure we were communicating well and often.

Mentoring Callum helped me develop:

* My supervision skills
* My project planning skills
* My java script knowledge!","Supervising Callum really helped me improve my project management skills. I had to set small achievable tasks for Callum, and monitor them frequently to ensure that the project was on track. 

Having strong project management skills is a key aspect of the service I provide to my clients as I am often the project lead."
Teaching exam,1.0,"This was a formal exam to assess my ability to teach R programming.
I was assessed by Dr. Greg Wilson and passed first time.","In order to prepare for this teaching exam, I had to:

* Prepare a teaching exam
* Draw a concept map
* Design interactive questions
* Create a learning persona

I found this process really beneficial to thinking about the way I develop learning resources.","Completing this exam has enabled me to become a ""Certified RStudio Tidyverse Trainer""

Having this qualification will confirm to clients that I am good at teaching programming


This will give them confidence when hiring me to deliver training that I am skilled at what I do."
The Tidyverse Style Guide,1.0,"https://style.tidyverse.org/
I worked through the style book and made notes to develop my own personal style guide for writing R code. 

Good coding style is like correct punctuation: you can manage without it, butitsuremakesthingseasiertoread. This site describes the style used throughout the tidyverse. It was originally derived from Google’s R style guide, but has evolved and expanded considerably over the years.

",Forcing myself to abide by my own style guide ensures that I am constantly good standard code. It also makes it easier for other data scientists to read my code and provide feedback. I intend to create a Digital Rail code guide.,"Having a clear style guide makes better code and, therefore, better analysis. "
Tidy Time Series Workshop,11.0,"RStudio Conference Workshops

I was TAing on Rob Hyndman's Tidy Time Series workshop
His course covered 12 hours of material, including manipulating, plotting and forecasting time series.
","I have strong R skills and decent experience at time series analysis, however I had not combined the two before. 
By teaching (and therefore learning) the Tidy Time Series material, I was able to learn the state of the art R libaries used to analyse time series data. 
Specifically I learnt the tsibble, feasts and fable R packages. 

I also refreshed some statistical time series analysis theory, including calculation of Auto Correlation Functions and rules of thumb for model fitting.","Having an in depth, up-to-date knowledge of time series analysis in R will allow me to write robust analysis for client data with time series data.

I was already able to perform time series analysis in R, however, using the framework defined by the tsibble packages will allow any code I write for clients to integrate well with the tidyverse. This is important to many clients as the tidyverse is seen as a standard coding framework in the R community."
Tidyverse Exam,0.5,"This was a formal exam to assess my ability to code using the Tidyverse R libraries. 
I was assessed by Dr. Greg Wilson and passed first time.",Having a formal qualification in the Tidyverse libraries is a great achievement for me. It documents my ability to use the tidyverse,"Completing this exam has enabled me to become a ""Certified RStudio Tidyverse Trainer"" 

Having this qualification will confirm to clients that:
1) I am good at *teaching* programming
2) I have a good understanding of the R tidyverse packages

This will give them confidence when hiring me to deliver training that I am skilled at what I do."
Training: Writing Aptitude tests,8.0,"Training material delivered by Assessment Day.
Covered how to develop numerical aptitude tests, including the writing of questions and assessing the difficulty.","Over the next couple of months, it is my job to develop an aptitude assessment from scratch. As I do not have any formal psychometrics training, it was essential to seek training from experts. 
I've developed a good understanding of how to develop these tests, from writing good questions to analysing the difficulty.","Being trained in aptitude tests, allows me to write a good quality assessment. Having an accurate assessment will allow our clients to ensure that they employ the best possible candidates with confidence. "
UCREL Summer School in corpus-based NLP,16.0,"The UCREL Summer School in corpus-based natural language processing (NLP) was a new stream added in 2016 to the highly successful series that began in 2011. Sponsored by UCREL at Lancaster University – one of the world's leading and longest-established centres for corpus-based research – its aim is to support students of computer science and computational linguistics in the development of advanced skills in corpus-based NLP methods. An additional aim is to foster interdisciplinary research and networking via joint sessions with other summer school streams.

Who is the UCREL NLP Summer School for?
The UCREL NLP Summer School is intended primarily for postgraduate computer science and informatics research students (and secondarily for Masters-level students, postdoctoral researchers, and others) who require in-depth knowledge of corpus-based NLP methodologies for their degree projects. Please note that this summer school assumes existing programming knowledge and skills. It is not aimed at raw beginners in coding.

What topics does the UCREL NLP Summer School cover?
The programme consists of a series of linked intensive two-hour sessions, some involving practical work, others more discussion-oriented. The instructors include external guest speakers, as well as speakers from Lancaster University. In the 2018 syllabus, the provisional session titles include:

Kalina Bontcheva (University of Sheffield) – Social media analysis with GATE
Alistair Baron (Lancaster University) – Authorship analysis for online text
Scott Piao (Lancaster University) – Semantic tagging, multilinguality, development and applications
Andrew Moore (Lancaster University) – Sentiment analysis
Mahmoud El–Haj (Lancaster University) – Text Classification using Machine Learning
Daniel Kershaw (Lancaster University and Mendeley) – Large–scale data mining
John Mariani and Paul Rayson (Lancaster University) – Poster/demo session for attendees to present their own work

",The tutorials were very informative and taught me how to implement a variety of NLP techniques in javascript. I have learnt new techniques in NLP and improved my competency in javascript coding. ,A product that we develop is based on Natural Language Processing. The training that I received over the 4 days introduced me to new techniques that we can incorporate into our products.
UKRRIN Lecture Series - Centre of Excellence in Rolling Stock,2.0,"On Tuesday 29th January the first in a series of lectures, organised by UKRRIN and Railway Engineers Forum (REF) took place at the Institute of Railway Research (IRR) based at Huddersfield University.

The audience of experts from industry and academia heard case studies from the UKRRIN team from Huddersfield, Newcastle and Loughborough Universities on their collaborative research in several areas including Risk modelling, Braking and wheel motors.

The innovative research presentations from the key CERS universities Huddersfield, Newcastle and Loughborough included:

* Zero slip linear induction motor (Z_Lim): A novel braking system for optimum capacity, Dr Roberto Palacin, Newcastle University
* LABRADOR: Train Braking System Simulation Tool, Dr Hamid Alterbeh, Huddersfield University
* The SET wheel motor project, Dr Peter Hubbard, Loughborough University
* A KPI for High-Speed Red Aspect Approaches, Professor Coen Van Gulijk, Huddersfield University
* Recent Developments on Pantograph-Catenary Interaction to Support Rail Industry, Professor Joao Pombo, Huddersfield University","As a data scientist, I frequently have to work on domain specific problems. 
In my current role, I specialise in railways, although I have no formal engineering or railway experience. 

These talks broaded my domain specific knowledge, this will help me work in this sector in future, and enable me to communicate with railway engineers.","As a digital railway data scientist, having good domain knowledge is key. By attending this lecture series, I demonstrate to users of my service that

* I am willing to develop my domain knowledge
* I can understand technical railway lectures and ask informative questions"
UKRRIN Rail Data Challenge Workshop ,1.0,"The Centre of Excellence in Digital Systems (CEDS) at BCRRE is a part of the UK Rail Research and Innovation Network. CEDS will host this briefing and workshop on the Rail Data Challenge which recently opened and is accepting applications until the middle of September.

The Rail Data Challenge is an open invitation for innovators, developers and tech experts to develop new technologies to address three current rail challenges using new and existing datasets.

Challenge winners will get the opportunity to pitch for funding from industry and private investors to demonstrate their solution into rail. This competition will take place from 16 August and will conclude with a Demo Day on 15 October (2018).

At this Briefing and Workshop, participants will be able to find out more from the DfT, RDG and RSSB about the Joint Rail Data Action Plan and the Rail Data Challenge. In addition, there will be a workshop and opportunities to test ideas and explore collaboration opportunities with academics, tech experts, innovators and SMEs.

Workshop Itinerary

14:00 Welcome to BCRRE/UKRRIN CEDS and Introduction to Workshop 
14:15 About the Joint Rail Data Action Plan
14:25 About the Rail Data Challenge and Datasets available 
14:45 Intro to breakout session
15:00 Facilitated Breakout session
16:00 Reconvene to share ideas and broker potential partnerships
17:00 Close",This session taught me about UKKRIN a university research group in rail. Learning about the different projects they were working on is useful as we may need to team up with some of their academics in future projects. We also had a break out session where we discussed the problems in the rail industry and brainstormed technologies which would be useful in solving them.,"Working with large research organisations expanded the type of products which we can develop. 

Developing new technologies means we can offer new products to our clients which meet the needs of the rail industry.
"
UniBrass Trustee,5.0,"I served as a trustee for the UniBrass Foundation, and also as secretary. 

The UniBrass Foundation, registered charity number 1,159,359, was set up to advance, improve, develop and maintain public education in, and appreciation of, the art of the brass band movement, especially at universities. They aim to do this primarily by organising the annual UniBrass Championships, offering support to existing university ensembles, and encouraging the creation of new university bands.","As secretary, I was responsible for writing minutes, liaising with the Charity Commision and ensuring that the constitution is up to date. ","As part of my role, I had to learn how to write GDPR and child protection policies. I also had to learn how to update the charitable objectives. 

These writing skills can be transferred to ensuring that any policies developed in my professional work are correct. "
Unix basics,0.0,Working through data carpentries (LINK),ASDF123,ASDF123
useR 2019,0.0,ASDF123,ASDF123,ASDF123
VM training with Seb,0.0,Training on how to set up and host a Virtual Machine for training courses,ASDF123,ASDF123
Why R,0.0,"Learning how to run a Why R session with Colin
",ASDF123,ASDF123
Women in Data Conference,5.0,"The Topics
Diane Black
Artificial Intelligence – is this the future of analytics and the workforce?
Artificial Intelligence is set to be a game changer for today’s businesses and workforce. With the rapid developments in machine learning, cognitive computing and robotics the next decade promises to see huge leaps forward. What are the potential applications of AI in the future and how do we deal with the fears that currently surround AI? How are organisations already making analytics and AI central to their strategy and what use cases are we already seeing in practise?

Di helps dispel some of the myths and explain how AI is already having an impact and how advancements will enable us to work better, smarter and faster. We look at the opportunities and challenges associated with AI and analytics and how organisations can positively respond to the change that AI transformation brings, making analytics central to their business

Partnership panel session
Is gender diversity profitable?

Caroline Morris
Connecting Women in Data and Being Heard
Do you ever feel lonely at work?  Have you noticed how much time you spend being really listened to?  Do you know who to turn to for help?
I hear these and many more questions regularly in my role as a Leadership coach and it’s so refreshing to be in the coaching industry where supporting each other and being heard is a given.  However, it wasn’t always that way for me, I spent over eighteen years working in data and technology and often found myself feeling lonely and not sure where to get support.  In fact, over 50% of leaders say that they too often feel lonely.  I feel it is a real gift to make connections with people and so in my talk, I’ll be sharing the benefits of making connections, being heard and accepting help from each other.

Sue Unerman
The Glass Wall

Never mind the glass ceiling. In the workplace today there’s a glass wall. Men and women can see each other clearly through the divide, but they don’t speak the same language or have the same expectations. And as a result, women and their careers are suffering.

With more women than ever in the workforce, but still too few in the boardroom, now is the time to address the assumptions and miscommunication holding women back. My talk will explain why this is and give a sample of the strategies that women on the way up and managers need for any situation. Drawing on Unerman and Jacob’s own experience in men-dominated businesses, as well as over a hundred interviews with both men and women, The Glass Wall provides clear, smart and easy-to apply strategies for success. From unlocking ambition and developing resilience to nurturing creativity and getting noticed, these are the skills that everyone needs to learn to help break down that wall and create better workplaces for all.

Yasmeen Ahmad
The Human in the Loop – developing skills for the digital age

In a future driven by Artificial Intelligence, is the human decision maker obsolete? Machines in almost all fields are outperforming human efforts. Algorithms that are monetizing data to become the billion dollar unicorns. Should businesses feel threatened by new algorithms? This presentation will explore:

How is the explosion of data, new trends in AI, Machine Learning and Deep Learning impacting organisations?
How is automation driving new business models and maximising revenue streams?
What are the technology, skills and cultural changes required to thrive in the digital age?
How can businesses prepare for a future involving human machine partnerships?
Elizabeth Denham & Fedelma Good
Join Elizabeth and Fedelma for a conversation about GDPR and so much more……

Hear about the paths their careers have taken that have led them to where they are today. Their shared passion for ensuring GDPR is seen as so much more than a regulatory change (and much more!).

Håkan Nyberg
How to fight gender inequality in male dominated sectors","This event introduced me to many role models in my field, and really boosted my confidence. 
I learnt some great techniques on how best to communicate and present myself in a business setting.

One big theme of WiD2017 was ""taking control"" Athina Kaniouva said, “if you want a promotion, you have to ask for it, don’t wait for it.” Håkan Nyberg, CEO of Ikano Bank, said that women have a “golden opportunity” to help, promote and sponsor each other. 

There was also a in-depth discussion into GDPR which increased my understanding of the upcoming legislature. 
","Thanks to me better understanding on good GDPR practice, we can provide a service which meets users expectations around data protection. 

"
